Q8NCN2	P14598
NP_002189.1	NP_004160.3
P39880	NP_002305.1
NP_001511.2	Q08495
NP_005490.1	Q9Y2D0
NP_004070.3	NP_000846.1
NP_003073.1	NP_000365.3
NP_055206.2	Q8N183
NP_000624.2	NP_068815.2
NP_009171.1	P57723
NP_004102.1	Q9Y291
Q5VUA4	NP_055165.2
NP_001941.2	NP_002717.3
Q9BWT1	O75251
NP_004134.1	NP_000317.1
P36402	NP_000058.1
NP_006684.1	NP_006635.2
NP_009181.2	Q96GX9
NP_005230.1	O75880
NP_004102.1	NP_000680.2
Q96T88	NP_006235.1
NP_006707.1	NP_000476.1
O60284	Q07020
NP_009060.2	NP_003671.1
NP_001007227.1	NP_203526.1
Q5XKR4	NP_004171.2
Q8IZT9	NP_064632.2
NP_005515.1	Q9BYG8
Q9BWX1	Q8TCS8
NP_002096.1	NP_060383.2
P33076	NP_037386.1
Q14839	NP_061833.1
NP_001428.1	Q9Y2D0
NP_631938.1	NP_056273.2
NP_057953.1	Q9UBR1
NP_060274.3	O00338
Q3YBR2	Q8TCS8
NP_005925.2	O00142
NP_002097.1	NP_008996.1
NP_004069.1	NP_612393.2
NP_996670.1	Q9Y238
P51826	Q96P20
NP_003336.1	NP_004093.1
NP_003911.1	Q6PGN9
NP_006222.2	NP_006750.3
NP_005644.2	NP_057356.1
NP_005924.2	NP_060177.2
P62807	Q14914
Q14562	NP_060177.2
NP_009171.1	NP_003105.2
NP_005578.1	Q8N183
NP_004082.1	NP_038203.2
NP_004217.1	NP_005993.1
NP_002120.1	NP_000036.2
NP_055126.1	NP_612393.2
O95766	Q12882
NP_005345.3	NP_001087.2
NP_690856.1	NP_002564.1
Q01664	Q9H6S3
P01106	NP_006003.1
NP_003197.2	Q6UB35
Q14119	Q9Y3B7
NP_055367.2	Q06278
O43248	NP_001434.1
P50548	NP_001379.1
NP_002157.2	NP_434700.2
NP_005332.1	Q9UDX5
NP_006684.1	Q8N573
P20671	NP_996895.1
Q14938	NP_003076.1
NP_065090.1	P50226
P09630	NP_000964.1
Q92698	NP_005989.3
NP_002895.3	NP_872578.1
Q15415	Q8N6F7
NP_000511.1	Q8N573
P31275	NP_002454.1
NP_005230.1	NP_003126.1
NP_002710.2	NP_203526.1
NP_004082.1	NP_005787.1
Q9UDW3	NP_001952.1
NP_001370.1	NP_004171.2
P20823	NP_001386.1
Q8IXQ6	P50135
NP_006222.2	Q969P6
NP_477097.1	NP_000552.2
NP_002193.2	NP_064586.1
NP_058633.2	NP_003126.1
Q03112	Q9NYK5
Q9P2Y4	O60783
NP_009181.2	NP_004802.1
NP_005312.1	NP_077006.1
NP_004069.1	NP_000282.1
NP_004119.1	NP_115568.2
NP_001505.1	NP_057740.2
Q5H9F3	Q06278
NP_002008.2	Q14651
NP_005514.1	NP_055428.1
NP_008828.1	Q9NX20
NP_002126.2	NP_115865.1
P09017	Q8WVN8
NP_003784.2	NP_066953.1
NP_002583.1	Q96PC2
NP_005369.2	NP_000445.1
Q9ULG1	NP_001367.2
NP_001943.1	P40394
NP_003160.2	Q9UDY6
Q8NFU5	NP_056273.2
NP_005514.1	NP_004865.1
NP_776248.1	Q9H7D7
Q6ISB3	P57723
NP_006697.2	NP_001395.1
P07992	Q9NX20
NP_003070.3	Q6PRD7
Q8NFU5	NP_005300.1
Q99581	NP_001547.1
O95926	Q9NR20
NP_690048.1	P49753
O60231	NP_001434.1
Q9UL03	P09210
NP_997001.1	NP_004332.2
NP_005576.3	Q92871
Q8IVL1	Q99551
Q03923	O15540
O43474	Q9UGK3
NP_003661.1	NP_434700.2
NP_002681.1	NP_004777.1
NP_056271.2	NP_055973.2
NP_612211.1	NP_005078.2
Q70Z53	NP_006268.1
NP_777584.1	NP_057395.1
NP_006617.1	NP_203526.1
NP_001385.1	P22531
NP_008924.1	NP_689953.1
O75164	P25398
P55895	Q8TE04
NP_005641.1	P35558
NP_077021.1	Q9H2J4
NP_778225.1	Q8N573
NP_003084.1	P50224
Q15562	NP_004324.2
NP_002936.1	NP_001268.2
P51688	Q9GZZ1
P30260	Q12931
NP_005060.1	NP_056442.2
AAA93070.1	NP_660198.1
NP_003784.2	NP_003977.1
NP_056953.2	NP_004146.1
NP_004166.1	Q15046
BAB62909.1	Q13287
O94953	P48163
P10619	O75879
NP_002137.4	NP_001435.1
P33076	P14598
NP_003855.1	O75251
NP_002948.1	NP_002056.2
NP_004836.2	NP_000340.2
NP_056975.1	NP_003921.2
