AAF91084.1	Q96EP1
AAH07560.1	Q14847
AAQ86961.1	Q14005
AAH28049.1	P16298
AAA59925.1	P21359
AAH13362.1	Q13761
CAA64246.1	O00358
AAA52539.1	P05019
CAA89989.1	P41235
AAH14214.1	O95782
CAA41990.1	P26640
AAD39742.1	Q9UHW9
AAD02233.1	O95155
AAB94503.1	Q13324
AAH00632.1	Q99584
AAC08964.1	O75531
AAH00566.1	Q9BW83
AAQ03994.1	Q9Y547
AAH17247.1	Q96AE4
AAA50404.1	P61812
BAC87138.1	Q9UJ41
AAH11837.2	Q99615
AAF19526.1	Q9NPI1
AAH20590.1	Q96BI3
BAA89210.1	Q9UIG0
AAH30590.1	Q99708
BAA21128.1	O15198
AAB48304.1	Q9H307
BAA18998.1	P49023
AAH06201.1	P63010
BAA92038.1	Q9NUT2
BAA05892.1	P41594
BAB62909.1	Q96S53
AAH11604.1	Q969H4
AAM77350.1	Q7Z4I7
AAH02810.1	O95201
AAK69623.1	Q9BTT6
AAA36585.1	P31751
AAA51946.1	P06729
AAK69431.1	Q96RT1
CAA53046.1	P32241
AAD42222.1	P11171
AAH11772.1	P16885
AAH15714.1	Q96BD5
AAP88787.1	Q7KZF4
AAH26916.1	Q8NC51
AAH07654.1	Q9GZT8
AAH05359.1	P60983
AAQ89335.1	Q9H0Q3
AAC50911.1	Q99755
BAA14006.1	Q99471
AAF70308.1	Q9NYB9
CAB55488.1	P14151
AAL78298.1	Q8TF05
AAC24716.1	Q13153
AAK67631.1	Q96S94
CAA27173.1	P02545
CAA77669.1	Q14980
AAQ76039.1	Q9Y2Z0
CAD56889.1	Q06265
AAO31797.1	Q86YP4
BAB14554.1	P67936
CAA34971.1	P01871
AAH36391.1	O95319
AAH10922.1	Q9XRX5
AAQ62859.1	Q6WBX8
AAC39889.1	O95249
AAA35801.1	P09466
AAQ88694.1	Q9BWV1
AAD34717.1	P49758
AAC16273.1	O14733
AAF23374.1	Q9UHD8
AAH16330.1	Q96B01
BAA20562.1	Q9UKI8
AAC39542.1	O43493
AAG28389.1	Q13952
AAH00714.1	Q16630
BAB12247.1	Q9HCN6
AAB05036.1	Q15759
CAE47746.2	Q70EL2
AAH41119.1	Q96MU7
AAL59601.1	Q8WXF1
AAG00868.1	Q96D21
AAH09752.1	Q96GD3
AAB48030.1	P12270
AAH38596.1	Q14839
AAH28361.1	Q96PE3
CAA50405.1	P80098
AAH26351.1	Q8TAM2
AAA60120.1	Q15154
AAP55851.1	P49682
AAQ89322.1	Q6UW60
AAA52443.1	P01344
AAN73210.1	Q9HAV5
AAH15202.2	Q96BT3
AAK67629.1	Q96S96
AAH09210.1	Q14696
CAC87720.2	Q9Y4C0
AAB47281.1	P20585
AAC04325.1	O43889
AAK17573.1	P00395
AAM53550.1	Q96RI1
AAL96658.1	Q92974
AAG43153.1	Q9UNL4
AAK67636.1	Q8IYJ3
AAH13051.1	P53671
AAC50494.1	P53675
AAC98920.1	Q8IZL9
