NP_663777.1	Q13114	
NP_001233.1	P26842	
NP_055436.2	P09016	
NP_001420.2	Q09472	
NP_003630.1	Q9Y6K9	
NP_001073594.1	Q14790	
NP_001001998.1	Q01780	
NP_067000.1	Q9Y333	
NP_001888.2	Q6UVK1	
NP_001782.1	P60953	
NP_001033.1	P14672	
NP_002037.2	P04406	
NP_003001.1	P45985	
NP_060901.2	Q9P104	
NP_000199.2	P06213	
NP_001020276.1	P48729	
NP_001895.1	P35222	
NP_005973.1	Q15475	
NP_005068.2	Q04724	
NP_036377.1	Q13573	
NP_001702.1	P21810	
NP_000079.2	P02452	
NP_003334.2	P60604	
NP_000453.2	Q05086	
NP_000124.1	P00740	
NP_000123.1	P00451	
NP_003712.1	O14593	
NP_000529.1	O00287	
NP_003391.1	O14980	
NP_002801.1	P55036	
NP_038466.2	Q9UMX0	
NP_542166.1	Q9HAU5	
NP_005493.2	O95477	
NP_937879.1	O15085	
NP_004214.1	O14933	
NP_061828.1	P0CG47	
NP_004055.1	P46527	
NP_001737.1	P27824	
NP_009108.1	O95990	
NP_057661.3	Q9NRW1	
NP_004603.1	P36897	
NP_002816.1	P21246	
NP_715638.1	Q96NT1	
NP_000917.3	P06401	
NP_056986.2	O95071	
NP_003591.2	O14965	
NP_005150.1	P68032	
NP_002077.1	P62993	
NP_000741.1	P30926	
NP_055191.2	Q96F07	
NP_003922.1	Q92558	
NP_001077362.1	Q13033	
NP_008830.2	O43837	
NP_150634.1	P29466	
NP_003211.1	P05549	
NP_647593.1	O00499	
NP_009297.2	P00519	
NP_000215.1	P05783	
NP_003945.2	Q99558	
NP_000960.2	P46777	
NP_036413.1	Q9NZV8	
NP_006316.1	P62826	
NP_001020272.1	P02686	
NP_002743.3	P45984	
NP_000210.2	P15382	
NP_000229.1	Q12809	
NP_001757.1	P15813	
NP_002960.2	P53778	
NP_002537.3	O00300	
NP_000629.3	P04004	
NP_001296.1	O14493	
NP_003248.3	Q07157	
NP_058633.2	P09884	
NP_000537.3	P04637	
NP_001246.2	Q12834	
NP_001202.4	O60566	
NP_001900.1	P07339	
NP_954642.1	P02818	
NP_004916.1	Q92482	
NP_003450.2	Q99726	
NP_001275.1	Q92572	
NP_892017.2	Q7Z5L9	
NP_001092.1	P60709	
NP_060649.3	Q6VMQ6	
NP_003617.1	Q13136	
NP_002831.2	P10586	
NP_000336.1	P37840	
NP_056477.1	Q9UG01	
NP_203129.1	Q969G2	
NP_001090.2	P15309	
NP_004439.2	P04626	
NP_004105.1	Q92913	
NP_055006.1	Q9UQD0	
NP_006249.1	Q13976	
NP_002914.1	P41220	
NP_057542.2	Q9BTY7	
NP_060116.2	Q9H3H1	
NP_004594.1	Q16623	
NP_002625.1	P35232	
NP_116764.2	P42575	
NP_932070.1	P55957	
NP_004228.1	Q15645	
NP_001078837.1	Q8N720	
NP_036437.1	O94973	
NP_001274.1	P61966	
NP_005391.1	Q02156	
NP_542437.2	Q8NER1	
NP_009298.1	P42684	
NP_058431.2	P46108	
NP_006353.2	Q9UBU9	
