Q15435	DIP-1005N
P19174	DIP-100N
P53779	DIP-1015N
P22897	DIP-101N
P11277	DIP-1021N
P01241	DIP-1022N
P61024	DIP-102N
P08571	DIP-1030N
P07996	DIP-1037N
Q96Q89	DIP-103N
P00519	DIP-1042N
P10415	DIP-1043N
P15056	DIP-1045N
P01100	DIP-1047N
P04049	DIP-1048N
P09769	DIP-1049N
P27797	DIP-104N
P01112	DIP-1050N
P08631	DIP-1051N
P17275	DIP-1052N
P17535	DIP-1053N
P10721	DIP-1055N
P07948	DIP-1056N
P10242	DIP-1057N
P01111	DIP-1058N
P12931	DIP-1059N
P15498	DIP-1061N
P29597	DIP-1062N
P62820	DIP-1063N
P19838	DIP-106N
Q00403	DIP-1077N
P20226	DIP-1078N
P01589	DIP-1080N
P02766	DIP-1083N
P12004	DIP-1098N
P15924	DIP-109N
P01033	DIP-1107N
Q01081	DIP-1108N
P01023	DIP-1118N
P22303	DIP-1119N
P02649	DIP-1120N
P16070	DIP-1121N
P21926	DIP-1122N
P18827	DIP-1123N
P02748	DIP-1124N
P07357	DIP-1125N
P27635	DIP-1133N
P49768	DIP-1134N
P21333	DIP-1136N
Q9UQB3	DIP-1138N
Q99075	DIP-114N
Q04637	DIP-1161N
P29323	DIP-1162N
P05109	DIP-1165N
P06702	DIP-1166N
Q13671	DIP-117N
P27986	DIP-119N
P35222	DIP-122N
P24385	DIP-123N
P10275	DIP-125N
P14598	DIP-126N
P32927	DIP-127N
P67870	DIP-131N
P23458	DIP-133N
Q03405	DIP-137N
P25963	DIP-139N
P26006	DIP-140N
P20936	DIP-144N
P49716	DIP-146N
P21675	DIP-147N
P28749	DIP-148N
P24864	DIP-149N
P25490	DIP-150N
P31314	DIP-155N
P15173	DIP-159N
P24941	DIP-161N
P08887	DIP-162N
P15884	DIP-163N
P30304	DIP-166N
Q08945	DIP-169N
Q13309	DIP-17011N
Q13616	DIP-17013N
P62877	DIP-17014N
O43516	DIP-17015N
Q15080	DIP-17019N
O43312	DIP-17022N
P23468	DIP-17023N
P41212	DIP-17028N
P11171	DIP-17032N
O43491	DIP-17034N
Q9Y2J2	DIP-17035N
P02774	DIP-17038N
Q9Y4G6	DIP-17039N
O00291	DIP-17041N
O75146	DIP-17042N
P31785	DIP-173N
P29466	DIP-175N
P30279	DIP-178N
Q12802	DIP-180N
Q13315	DIP-182N
P32519	DIP-185N
P24588	DIP-186N
P22681	DIP-189N
Q03468	DIP-193N
P46108	DIP-199N
Q02750	DIP-201N
Q05195	DIP-204N
P50539	DIP-205N
P56199	DIP-206N
Q04771	DIP-212N
P26368	DIP-2154N
Q07955	DIP-2155N
P06396	DIP-2196N
P06127	DIP-21N
P08575	DIP-224N
P14859	DIP-226N
P32239	DIP-229N
P06730	DIP-22N
Q07820	DIP-231N
Q07812	DIP-232N
Q14186	DIP-238N
P11166	DIP-23N
Q9NXV6	DIP-24170N
Q8N726	DIP-24171N
P40855	DIP-24172N
O14757	DIP-24182N
P30307	DIP-24183N
Q13547	DIP-24184N
Q16254	DIP-24185N
P78527	DIP-24186N
P15927	DIP-24187N
P12956	DIP-24188N
P27694	DIP-24189N
P35244	DIP-24190N
P23025	DIP-24191N
Q14565	DIP-24192N
P13051	DIP-24194N
P09429	DIP-24195N
O15151	DIP-24199N
Q07869	DIP-241N
O15350	DIP-24202N
O60566	DIP-24203N
O43684	DIP-24205N
O43683	DIP-24206N
Q10567	DIP-24207N
O00203	DIP-24208N
Q9Y6B7	DIP-24209N
P15559	DIP-24210N
Q15648	DIP-24212N
P51587	DIP-24214N
P18858	DIP-24215N
P39748	DIP-24216N
P24522	DIP-24217N
O95257	DIP-24218N
O75293	DIP-24219N
Q92769	DIP-24220N
Q00535	DIP-24221N
Q15078	DIP-24222N
O14867	DIP-24223N
Q8IWY9	DIP-24225N
Q01094	DIP-24227N
Q15329	DIP-24229N
O00716	DIP-24230N
P31350	DIP-24232N
P23921	DIP-24233N
P22674	DIP-24234N
P07992	DIP-24235N
O00255	DIP-24236N
Q04206	DIP-24238N
Q13156	DIP-24241N
O43543	DIP-24242N
Q07864	DIP-24243N
Q99708	DIP-24244N
Q13363	DIP-24245N
P35232	DIP-24248N
P51532	DIP-24249N
Q9HCU9	DIP-24250N
P78347	DIP-24252N
O15379	DIP-24253N
Q99638	DIP-24255N
Q9UK53	DIP-24256N,DIP-24257N,DIP-24258N
P49459	DIP-24260N
O43679	DIP-24262N
Q92547	DIP-24263N
O75771	DIP-24265N
P35249	DIP-24267N
P31749	DIP-24269N
O96017	DIP-24270N
Q16667	DIP-245N
P38936	DIP-246N
P45983	DIP-249N
P43405	DIP-253N
Q09472	DIP-257N
Q14209	DIP-258N
Q12772	DIP-263N
P41182	DIP-2651N
Q15916	DIP-2653N
Q05516	DIP-2654N
P19525	DIP-2657N
P53618	DIP-265N
P42574	DIP-268N
Q15572	DIP-269N
P45984	DIP-270N
P02786	DIP-2736N
Q30201	DIP-2737N
P02787	DIP-2738N
P52333	DIP-274N
Q9Y4K3	DIP-27515N
O43353	DIP-27518N
Q9Y572	DIP-27519N
Q99759	DIP-27521N
Q99558	DIP-27522N
O43318	DIP-27523N
Q15750	DIP-27524N
Q9NYJ8	DIP-27525N
O15111	DIP-27526N
O14920	DIP-27527N
Q9Y6K9	DIP-27528N
Q9UHD2	DIP-27529N
