ZNF83_HUMAN	P51522
LMAN1_HUMAN	P49257
GRIA1_HUMAN	P42261
LMOD3_HUMAN	Q0VAK6
FXL16_HUMAN	Q8N461
CATH_HUMAN	P09668
ALKB2_HUMAN	Q6NS38
FARP1_HUMAN	Q9Y4F1
RBMS3_HUMAN	Q6XE24
DNJB7_HUMAN	Q7Z6W7
ABTB1_HUMAN	Q969K4
SAA4_HUMAN	P35542
UHRF1_HUMAN	Q96T88
TDH_HUMAN	Q8IZJ6
O51G1_HUMAN	Q8NGK1
ITBP2_HUMAN	Q9UKP3
D19L3_HUMAN	Q6ZPD9
SNX20_HUMAN	Q7Z614
RNZ2_HUMAN	Q9BQ52
M3K8_HUMAN	P41279
ALG13_HUMAN	Q9NP73
KFA_HUMAN	Q63HM1
TMIG2_HUMAN	Q96BF3
MXI1_HUMAN	P50539
EXOG_HUMAN	Q9Y2C4
SYNCI_HUMAN	Q9H7C4
SIA8B_HUMAN	Q92186
OZF_HUMAN	Q15072
RAB37_HUMAN	Q96AX2
ATG4C_HUMAN	Q96DT6
PRR5L_HUMAN	Q6MZQ0
ZN579_HUMAN	Q8NAF0
WIPF1_HUMAN	O43516
TRAP1_HUMAN	Q12931
ANR42_HUMAN	Q8N9B4
OBSL1_HUMAN	O75147
DS13A_HUMAN	Q6B8I1
DS13B_HUMAN	Q9UII6
RUFY3_HUMAN	Q7L099
DTWD2_HUMAN	Q8NBA8
LY9_HUMAN	Q9HBG7
PHS_HUMAN	P61457
EST3_HUMAN	Q6UWW8
RAMP3_HUMAN	O60896
EXTL3_HUMAN	O43909
PCY1B_HUMAN	Q9Y5K3
DDX42_HUMAN	Q86XP3
RHG05_HUMAN	Q13017
PINL_HUMAN	O15428
HRH2_HUMAN	P25021
PHYIP_HUMAN	Q92561
RED1_HUMAN	P78563
NRK1_HUMAN	Q9NWW6
FBX7_HUMAN	Q9Y3I1
GLPK2_HUMAN	Q14410
RIMB2_HUMAN	O15034
NCHL1_HUMAN	O00533
ARK73_HUMAN	O95154
CE350_HUMAN	Q5VT06
FOXJ1_HUMAN	Q92949
PRR14_HUMAN	Q9BWN1
GAGE1_HUMAN	P0DTW1
FGF18_HUMAN	O76093
SGPL1_HUMAN	O95470
AKAP4_HUMAN	Q5JQC9
PARP3_HUMAN	Q9Y6F1
TR150_HUMAN	Q9Y2W1
ACOT4_HUMAN	Q8N9L9
PPOX_HUMAN	P50336
DEF5_HUMAN	Q01523
MRS2_HUMAN	Q9HD23
PTN21_HUMAN	Q16825
S1PR1_HUMAN	P21453
MT2_HUMAN	P02795
FRS3_HUMAN	O43559
LRC8E_HUMAN	Q6NSJ5
FCERB_HUMAN	Q01362
B2CL2_HUMAN	Q92843
B4GT5_HUMAN	O43286
RD3_HUMAN	Q7Z3Z2
GBRA6_HUMAN	Q16445
FBSL_HUMAN	Q9HCM7
SPIT2_HUMAN	O43291
S4A8_HUMAN	Q2Y0W8
ITB1_HUMAN	P05556
RASM_HUMAN	O14807
GEMI4_HUMAN	P57678
CRIP2_HUMAN	P52943
LRIG2_HUMAN	O94898
ATP5L_HUMAN	O75964
NR1H4_HUMAN	Q96RI1
CEPT1_HUMAN	Q9Y6K0
KCIP4_HUMAN	Q6PIL6
VP13B_HUMAN	Q7Z7G8
GLTL5_HUMAN	Q7Z4T8
NKX61_HUMAN	P78426
TANK_HUMAN	Q92844
GSTA1_HUMAN	P08263
