AAH07560.1	Q14847
AAA18895.1	Q99250
AAC24716.1	Q13153
AAH15202.2	Q96BT3
AAH20568.1	Q9H7M9
CAA64246.1	O00358
AAH51301.1	Q15562
AAB48030.1	P12270
AAH11957.1	Q14201
AAP34197.1	Q86U86
AAD26526.1	Q9Y6M4
AAH36391.1	O95319
BAB16421.1	Q9HCN2
AAP55851.1	P49682
AAH15733.1	Q9P0U4
AAH11604.1	Q969H4
AAH20590.1	Q96BI3
AAQ86961.1	Q14005
AAA93070.1	Q13243
BAA18998.1	P49023
AAH36381.1	Q92540
AAK21314.1	Q15532
AAH41119.1	Q96MU7
BAB62909.1	Q96S53
BAB69456.1	Q96Q89
AAK67636.1	Q8IYJ3
AAM77571.1	Q8NFM7
AAH17247.1	Q96AE4
BAD18805.1	Q9BXA6
AAK50430.1	Q8IVG9
BAC04587.1	Q9HCM2
AAQ88694.1	Q9BWV1
BAA21667.1	O15194
AAH13362.1	Q13761
AAH09369.1	Q6PK04
AAH11772.1	P16885
AAH52303.1	P98171
CAG30283.1	Q9ULT6
AAG16780.1	O76027
AAH09210.1	Q14696
AAA60144.1	P45880
BAC03849.1	Q9NR19
AAM77350.1	Q7Z4I7
AAL78298.1	Q8TF05
AAQ76039.1	Q9Y2Z0
CAC87720.2	Q9Y4C0
AAH38596.1	Q14839
BAC04171.1	Q8N9W6
AAB94503.1	Q13324
AAC39889.1	O95249
AAH10922.1	Q9XRX5
AAN62764.1	Q8IZD4
AAA35801.1	P09466
BAC87330.1	Q6ZRI0
CAA89989.1	P41235
CAB55488.1	P14151
AAQ88852.1	Q7L1S5
AAH63840.1	P25440
AAH30144.2	P49406
AAC25955.1	Q9UQB9
AAQ89335.1	Q9H0Q3
CAA50405.1	P80098
BAA89210.1	Q9UIG0
AAD42222.1	P11171
AAH22328.1	Q16629
AAH26351.1	Q8TAM2
AAA36585.1	P31751
AAA59925.1	P21359
CAA53046.1	P32241
AAK55424.1	Q96JA3
AAN73210.1	Q9HAV5
AAH30811.1	O43474
AAB47281.1	P20585
AAM53550.1	Q96RI1
AAF23374.1	Q9UHD8
AAF34739.1	O75144
AAG30114.1	Q15046
AAH32296.1	Q8N131
AAH13051.1	P53671
CAA77669.1	Q14980
AAH32474.1	P58753
AAO61140.1	Q9H2L5
AAH60852.1	Q9UIV1
AAO31797.1	Q86YP4
BAD36741.1	Q8NCD3
CAE47746.2	Q70EL2
AAS86434.1	Q674X7
CAC41349.1	Q5BKT4
AAD34717.1	P49758
AAC24200.1	Q7Z569
BAA89209.1	Q9NRL2
AAC50911.1	Q99755
BAA14006.1	Q99471
AAA50404.1	P61812
AAD39742.1	Q9UHW9
AAH30590.1	Q99708
BAA04466.1	P41586
CAH18258.1	Q9P2P6
AAB05036.1	Q15759
AAH12604.1	O00442
AAM46624.1	Q8NFX7
BAB82982.1	P17861
AAF70308.1	Q9NYB9
CAA41990.1	P26640
AAA51946.1	P06729
AAH67364.1	Q6NWY9
AAQ16198.1	Q58F21
AAH05359.1	P60983
BAC11609.1	Q8NBM4
AAC98920.1	Q8IZL9
AAH07654.1	Q9GZT8
AAH13172.1	Q96DX5
AAQ89322.1	Q6UW60
AAH28165.1	O14917
CAD56889.1	Q06265
AAA52539.1	P05019
BAB15625.1	Q9P2K8
AAD02233.1	O95155
AAK67629.1	Q96S96
AAH00714.1	Q16630
AAH07932.2	Q7L4P6
AAH02810.1	O95201
BAA21128.1	O15198
AAO14651.1	Q7Z5K2
AAC08964.1	O75531
AAH42753.1	Q86T24
CAA27173.1	P02545
BAB15180.1	Q9H6S3
AAC83687.1	Q9UN79
AAH15714.1	Q96BD5
AAH00566.1	Q9BW83
AAH66644.1	Q6NYC8
BAB14554.1	P67936
AAC39542.1	O43493
AAQ04776.1	O95196
BAA92038.1	Q9NUT2
AAC50494.1	P53675
AAB48304.1	Q9H307
BAD18551.1	O95785
AAC16273.1	O14733
CAA34971.1	P01871
AAH37773.1	Q9H7Z6
AAP88787.1	Q7KZF4
AAH16330.1	Q96B01
BAA11621.1	Q15283
AAH02509.1	Q9BUL5
AAF12793.3	Q9NZJ7
AAG44303.1	Q9BXJ1
AAL59601.1	Q8WXF1
AAC27728.1	Q9HBW0
AAH00632.1	Q99584
AAK67631.1	Q96S94
AAF19526.1	Q9NPI1
AAH48318.1	Q9H1X3
BAA05892.1	P41594
BAC04299.1	Q8N9N2
CAA55137.1	Q15131
AAB54009.1	Q16836
AAH50522.1	Q96FC9
AAL77754.1	Q9UHB4
AAH06201.1	P63010
AAG28389.1	Q13952
AAG17224.1	Q9UKJ0
AAQ03994.1	Q9Y547
AAH01883.1	Q14978
AAH11837.2	Q99615
CAA58827.1	Q15543
AAG43153.1	Q9UNL4
AAN76356.1	Q9Y3C4
AAH28049.1	P16298
AAA20398.1	P13224
AAM80487.1	Q8NFI3
BAD18671.1	Q8IWQ3
AAH09752.1	Q96GD3
AAG00868.1	Q96D21
BAA20562.1	Q9UKI8
AAA60120.1	Q15154
AAH14214.1	O95782
AAC04325.1	O43889
BAB12247.1	Q9HCN6
CAA42438.1	P25311
AAK69623.1	Q9BTT6
BAC87138.1	Q9UJ41
AAK69431.1	Q96RT1
BAB55196.1	Q9NTX7
CAC79538.1	Q13639
AAK15343.1	Q9BXF3
AAH29796.1	Q8N2X6
AAQ89084.1	Q96PB7
AAH47945.1	Q86WT6
AAH21090.1	Q9Y6U3
AAR26431.1	Q5YKI7
