BRE1B_HUMAN	O75150
CCL2_HUMAN	P13500
GTSE1_HUMAN	Q9NYZ3
C2AIL_HUMAN	Q96HQ2
PDZD8_HUMAN	Q8NEN9
STAB2_HUMAN	Q8WWQ8
RFC2_HUMAN	P35250
SHSA5_HUMAN	Q8N114
IFNG_HUMAN	P01579
ZBT24_HUMAN	O43167
GPAN1_HUMAN	O95872
CML1_HUMAN	Q99788
PANK2_HUMAN	Q9BZ23
IDD_HUMAN	P98153
SOX_HUMAN	Q9P0Z9
EVA1C_HUMAN	P58658
CADH5_HUMAN	P33151
RAD54_HUMAN	Q92698
EMAL5_HUMAN	Q05BV3
C8AP2_HUMAN	Q9UKL3
SL9A5_HUMAN	Q14940
CDR1_HUMAN	P51861
RGF1A_HUMAN	Q8N9B8
CKLF6_HUMAN	Q9NX76
S27A2_HUMAN	O14975
NDUA1_HUMAN	O15239
TRAF7_HUMAN	Q6Q0C0
EP300_HUMAN	Q09472
MAP7_HUMAN	Q14244
ZN626_HUMAN	Q68DY1
HYCCI_HUMAN	Q9BYI3
XAGE2_HUMAN	Q96GT9
TPST2_HUMAN	O60704
SC5A2_HUMAN	P31639
TRIA1_HUMAN	O43715
SGCE_HUMAN	O43556
RABX5_HUMAN	Q9UJ41
REN3B_HUMAN	Q9BZI7
BIRC2_HUMAN	Q13490
USE1_HUMAN	Q9NZ43
SBNO1_HUMAN	A3KN83
ASND1_HUMAN	Q9NWL6
TM107_HUMAN	Q6UX40
ARI2_HUMAN	O95376
SART3_HUMAN	Q15020
PAGE1_HUMAN	O75459
TFG_HUMAN	Q92734
GLTL5_HUMAN	Q7Z4T8
ELOV3_HUMAN	Q9HB03
SPNXB_HUMAN	Q9NS25
RAB7L_HUMAN	O14966
AF10_HUMAN	P55197
ZNF17_HUMAN	P17021
GALR3_HUMAN	O60755
LCE3A_HUMAN	Q5TA76
TDG_HUMAN	Q13569
TBC26_HUMAN	Q86UD7
CUL2_HUMAN	Q13617
CUL3_HUMAN	Q13618
RGN_HUMAN	Q15493
DISC1_HUMAN	Q9NRI5
ENL_HUMAN	Q03111
DHB4_HUMAN	P51659
ARAP2_HUMAN	Q8WZ64
CENPB_HUMAN	P07199
CNTN4_HUMAN	Q8IWV2
TRI41_HUMAN	Q8WV44
GP107_HUMAN	Q5VW38
AMPD1_HUMAN	P23109
TM6S1_HUMAN	Q9BZW5
TACO1_HUMAN	Q9BSH4
MSH2_HUMAN	P43246
ST14_HUMAN	Q9Y5Y6
DHX30_HUMAN	Q7L2E3
ANR55_HUMAN	Q3KP44
ARRB1_HUMAN	P49407
MRT4_HUMAN	Q9UKD2
TM14B_HUMAN	Q9NUH8
C1T9A_HUMAN	P0C862
FA13B_HUMAN	Q9NYF5
KC1D_HUMAN	P48730
N62CL_HUMAN	Q9H1M0
AHSA1_HUMAN	O95433
PSB2_HUMAN	P49721
RDH14_HUMAN	Q9HBH5
HSPB2_HUMAN	Q16082
K1C28_HUMAN	Q7Z3Y7
SCN8A_HUMAN	Q9UQD0
UBP50_HUMAN	Q70EL3
ZA2G_HUMAN	P25311
ABHD6_HUMAN	Q9BV23
ADCK2_HUMAN	Q7Z695
USH1G_HUMAN	Q495M9
ACTA_HUMAN	P62736
VPS16_HUMAN	Q9H269
NACC1_HUMAN	Q96RE7
KIF3C_HUMAN	O14782
TBCD1_HUMAN	Q86TI0
DRG2_HUMAN	P55039
TR19L_HUMAN	Q969Z4
MP2K5_HUMAN	Q13163
CDK7_HUMAN	P50613
METL8_HUMAN	Q9H825
PASK_HUMAN	Q96RG2
RAB43_HUMAN	Q86YS6
MTR1B_HUMAN	P49286
OZF_HUMAN	Q15072
TIM10_HUMAN	P62072
KR411_HUMAN	Q9BYQ6
AKAP8_HUMAN	O43823
SSRB_HUMAN	P43308
SP30L_HUMAN	Q9HAJ7
K1C27_HUMAN	Q7Z3Y8
RN103_HUMAN	O00237
IQEC1_HUMAN	Q6DN90
ZN333_HUMAN	Q96JL9
DJC13_HUMAN	O75165
APOH_HUMAN	P02749
