A	4.35	0.61	1.0	0.357	6.5	0.288	-0.118	1.29	0.058	2.87	100.0	49.1	1.08	14.53	0.15	6.8	0.964
R	4.38	0.6	0.52	0.529	6.9	0.362	0.124	0.44	0.085	7.82	83.0	133.0	0.93	17.82	-0.37	0.0	1.143
N	4.75	0.06	0.35	0.463	7.5	0.229	0.289	0.81	0.091	4.58	104.0	-3.6	1.05	13.59	0.69	6.2	0.944
D	4.76	0.46	0.44	0.511	7.0	0.271	0.048	2.02	0.081	4.74	86.0	0.0	0.86	19.78	-0.22	7.0	0.916
C	4.65	1.07	0.06	0.346	7.7	0.533	0.083	0.66	0.128	4.47	44.0	0.0	1.22	30.57	-0.19	8.3	0.778
Q	4.37	0.0	0.44	0.493	6.0	0.327	-0.105	1.22	0.098	6.11	84.0	20.0	0.95	22.18	-0.06	8.5	1.047
E	4.29	0.47	0.73	0.497	7.0	0.262	-0.245	2.44	0.064	5.97	77.0	0.0	1.09	18.19	0.14	4.9	1.051
G	3.97	0.07	0.35	0.544	5.6	0.312	0.104	0.76	0.152	2.06	50.0	64.6	0.85	37.16	0.36	6.4	0.835
H	4.63	0.61	0.6	0.323	8.0	0.2	0.138	0.73	0.054	5.23	91.0	75.7	1.02	22.63	-0.25	9.2	1.014
I	3.95	2.22	0.73	0.462	7.0	0.411	0.23	0.67	0.056	4.92	103.0	18.9	0.98	20.28	0.02	10.0	0.922
L	4.17	1.53	1.0	0.365	6.5	0.4	-0.052	0.58	0.07	4.92	54.0	15.6	1.04	14.3	0.06	12.2	1.085
K	4.36	1.15	0.6	0.466	6.5	0.265	0.032	0.66	0.095	6.89	72.0	0.0	1.01	14.07	-0.16	7.5	0.944
M	4.52	1.18	1.0	0.295	0.0	0.375	-0.258	0.71	0.055	6.36	93.0	6.8	1.11	20.61	0.11	8.4	1.032
F	4.66	2.02	0.6	0.314	9.4	0.318	0.015	0.61	0.065	4.62	51.0	54.7	0.96	19.61	1.18	8.3	1.119
P	4.44	1.95	0.06	0.509	0.0	0.34	0.0	2.01	0.068	4.11	58.0	43.8	0.91	52.63	0.11	6.9	1.299
S	4.5	0.05	0.35	0.507	6.5	0.354	0.225	0.74	0.106	3.97	117.0	44.4	0.95	18.56	0.13	8.0	0.947
T	4.35	0.05	0.44	0.444	6.9	0.388	0.166	1.08	0.079	4.11	107.0	31.0	1.15	21.09	0.28	7.0	1.017
W	4.7	2.65	0.73	0.305	0.0	0.231	0.158	1.47	0.167	7.68	25.0	70.5	1.17	19.78	-0.12	5.7	0.895
Y	4.6	1.88	0.44	0.42	6.8	0.429	0.094	0.68	0.125	4.73	50.0	0.0	0.8	26.36	0.19	6.8	1.0
V	3.95	1.32	0.82	0.386	7.0	0.495	0.513	0.61	0.053	4.11	98.0	29.5	1.03	21.87	-0.08	9.4	0.955
X	4.44	0.98	0.55	0.43	5.88	0.33	0.05	1.03	0.09	5.06	76.26	32.87	1.01	22.3	0.11	7.27	1.0
J	4.06	1.88	0.86	0.41	6.75	0.41	0.09	0.62	0.06	4.92	78.5	17.25	1.01	17.29	0.04	11.1	1.0
Z	4.33	0.24	0.58	0.5	6.5	0.29	-0.18	1.83	0.08	6.04	80.5	10.0	1.02	20.19	0.04	6.7	1.05
B	4.76	0.26	0.4	0.49	7.25	0.25	0.17	1.42	0.09	4.66	95.0	-1.8	0.96	16.69	0.24	6.6	0.93
