A	-0.17691335 -0.19057421 0.045527875 -0.175985 1.1090639 4.35 0.61 1.0 0.357 6.5 0.288 -0.118 1.29 0.058 2.87 100.0 49.1 1.08 14.53 0.15 6.8 0.964
C	-0.31572455 0.38517416 0.17325026 0.3164464 1.1512344 4.65 1.07 0.06 0.346 7.7 0.533 0.083 0.66 0.128 4.47 44.0 0.0 1.22 30.57 -0.19 8.3 0.778
B	0.037789278 -0.1989614 -0.844488 -0.8851388 0.57501 4.76 0.26 0.4 0.49 7.25 0.25 0.17 1.42 0.09 4.66 95.0 -1.8 0.96 16.69 0.24 6.6 0.93
E	-0.06940994 -0.34011552 -0.17767446 0.251 1.0661993 4.29 0.47 0.73 0.497 7.0 0.262 -0.245 2.44 0.064 5.97 77.0 0.0 1.09 18.19 0.14 4.9 1.051
D	0.00600859 -0.1902303 -0.049640052 0.15067418 1.0812483 4.76 0.46 0.44 0.511 7.0 0.271 0.048 2.02 0.081 4.74 86.0 0.0 0.86 19.78 -0.22 7.0 0.916
G	-0.07281224 0.01804472 0.22983849 -0.045492448 1.1139168 3.97 0.07 0.35 0.544 5.6 0.312 0.104 0.76 0.152 2.06 50.0 64.6 0.85 37.16 0.36 6.4 0.835
F	0.2315121 -0.01626652 0.25592703 0.2703909 1.0793934 4.66 2.02 0.6 0.314 9.4 0.318 0.015 0.61 0.065 4.62 51.0 54.7 0.96 19.61 1.18 8.3 1.119
I	0.15077977 -0.1881559 0.33855876 0.39121667 1.0793937 3.95 2.22 0.73 0.462 7.0 0.411 0.23 0.67 0.056 4.92 103.0 18.9 0.98 20.28 0.02 10.0 0.922
H	0.019046513 -0.023256639 -0.06749539 0.16737276 1.0796973 4.63 0.61 0.6 0.323 8.0 0.2 0.138 0.73 0.054 5.23 91.0 75.7 1.02 22.63 -0.25 9.2 1.014
K	0.22048187 -0.34703028 0.20346786 0.65077996 1.0620389 4.36 1.15 0.6 0.466 6.5 0.265 0.032 0.66 0.095 6.89 72.0 0.0 1.01 14.07 -0.16 7.5 0.944
J	0.06847394 0.015362699 -0.7120714 -1.054779 0.49967504 4.06 1.88 0.86 0.41 6.75 0.41 0.09 0.62 0.06 4.92 78.5 17.25 1.01 17.29 0.04 11.1 1.0
M	0.06302169 -0.10206237 0.18976009 0.115588315 1.0927621 4.52 1.18 1.0 0.295 0.0 0.375 -0.258 0.71 0.055 6.36 93.0 6.8 1.11 20.61 0.11 8.4 1.032
L	0.0075188675 -0.17002057 0.08902198 0.066686414 1.0804346 4.17 1.53 1.0 0.365 6.5 0.4 -0.052 0.58 0.07 4.92 54.0 15.6 1.04 14.3 0.06 12.2 1.085
O	-0.042549122 0.11453196 0.3218399 -0.96280265 0.42855614 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
N	0.41597384 -0.22671205 0.31179032 0.45883527 1.0529875 4.75 0.06 0.35 0.463 7.5 0.229 0.289 0.81 0.091 4.58 104.0 -3.6 1.05 13.59 0.69 6.2 0.944
Q	0.25189143 -0.40238172 -0.046555642 0.22140719 1.0362468 4.37 0.0 0.44 0.493 6.0 0.327 -0.105 1.22 0.098 6.11 84.0 20.0 0.95 22.18 -0.06 8.5 1.047
P	0.017954966 -0.09864355 0.028460773 -0.12924117 1.0974121 4.44 1.95 0.06 0.509 0.0 0.34 0.0 2.01 0.068 4.11 58.0 43.8 0.91 52.63 0.11 6.9 1.299
S	0.17177454 -0.16769698 0.27776834 0.10357749 1.0800852 4.5 0.05 0.35 0.507 6.5 0.354 0.225 0.74 0.106 3.97 117.0 44.4 0.95 18.56 0.13 8.0 0.947
R	-0.15621762 -0.19172126 -0.209409 0.026799612 1.0879921 4.38 0.6 0.52 0.529 6.9 0.362 0.124 0.44 0.085 7.82 83.0 133.0 0.93 17.82 -0.37 0.0 1.143
U	0.00069698587 -0.40677646 0.045045465 0.875985 0.93636376 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
T	0.054446213 -0.16771607 0.22424258 -0.01337227 1.0967118 4.35 0.05 0.44 0.444 6.9 0.388 0.166 1.08 0.079 4.11 107.0 31.0 1.15 21.09 0.28 7.0 1.017
W	0.25281385 0.12420933 0.0132171605 0.09199735 1.0842415 4.7 2.65 0.73 0.305 0.0 0.231 0.158 1.47 0.167 7.68 25.0 70.5 1.17 19.78 -0.12 5.7 0.895
V	-0.09511698 -0.11654304 0.1440215 -0.0022315443 1.1064949 3.95 1.32 0.82 0.386 7.0 0.495 0.513 0.61 0.053 4.11 98.0 29.5 1.03 21.87 -0.08 9.4 0.955
Y	0.27962074 -0.051454283 0.114876375 0.3550331 1.0615551 4.6 1.88 0.44 0.42 6.8 0.429 0.094 0.68 0.125 4.73 50.0 0.0 0.8 26.36 0.19 6.8 1.0
X	0.5566999 -2.5784554 -4.580289 -0.46196952 1.4881511 4.44 0.98 0.55 0.43 5.88 0.33 0.05 1.03 0.09 5.06 76.26 32.87 1.01 22.3 0.11 7.27 1.0
Z	-0.020066334 -0.116254225 -0.69591016 -1.2875729 0.6376922 4.33 0.24 0.58 0.5 6.5 0.29 -0.18 1.83 0.08 6.04 80.5 10.0 1.02 20.19 0.04 6.7 1.05
