ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-617N|refseq:NP_000607|uniprotkb:P01730	DIP-617N|refseq:NP_000607|uniprotkb:P01730	-	-	-	-	MI:0031(protein cross-linking with a bifunctional reagent)|MI:0114(x-ray crystallography)	-	pubmed:9168119|pubmed:DIP-17838S|pubmed:9168119|pubmed:DIP-17838S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-42E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-493N|uniprotkb:Q62311	DIP-147N|uniprotkb:P21675	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0019(coimmunoprecipitation)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-172E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-582N|refseq:NP_000312|uniprotkb:P06400	DIP-472N|refseq:NP_005047|uniprotkb:P29375	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0401(biochemical)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:22615382|pubmed:DIP-15717S|pubmed:8414517|pubmed:DIP-109S|pubmed:22615382|pubmed:DIP-15717S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-214E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-1078N|refseq:NP_003185|uniprotkb:P20226	DIP-51N|uniprotkb:P09086	 -	-	-	-	MI:0401(biochemical)|MI:0019(coimmunoprecipitation)	-	pubmed:8202368|pubmed:DIP-468S|pubmed:8202368|pubmed:DIP-468S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-320E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-189N|refseq:NP_005179|uniprotkb:P22681	DIP-199N|refseq:refseq|uniprotkb:P46108	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9178909|pubmed:DIP-185S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-401E	dip-quality-status:core	dip:0002(small scale)		-
DIP-480N|uniprotkb:P06213	DIP-119N|uniprotkb:P27986	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7589433|pubmed:DIP-247S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-447E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1048N|refseq:NP_002871|uniprotkb:P04049	DIP-743N|uniprotkb:P31946	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7935795|pubmed:DIP-107S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-479E	dip-quality-status:core	dip:0002(small scale)		-
DIP-704N|refseq:NP_002469|uniprotkb:P15172	DIP-425N|refseq:NP_005602|uniprotkb:Q08999	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9121766|pubmed:DIP-337S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-15E	dip-quality-status:core	dip:0002(small scale)		-
DIP-391N|uniprotkb:P48061	DIP-400N	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8976200|pubmed:DIP-140S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-72E	dip-quality-status:core	dip:0002(small scale)		-
DIP-53N|refseq:NP_057869|uniprotkb:P17095	DIP-953N|refseq:NP_003111|uniprotkb:P17947	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7594592|pubmed:DIP-403S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-76E	dip-quality-status:core	dip:0002(small scale)		-
