DIPID	UniProtKB AC
DIP-617N	P01730
DIP-493N	Q62311
DIP-582N	P06400
DIP-1078N	P20226
DIP-189N	P22681
DIP-480N	P06213
DIP-1048N	P04049
DIP-704N	P15172
DIP-391N	P48061
DIP-53N	P17095
DIP-169N	Q08945
DIP-1074N	Q9DH70
DIP-257N	Q09472
DIP-331N	P36956
DIP-327N	Q04650
DIP-74N	P15923
DIP-163N	P15884
DIP-681N	P32561
DIP-182N	Q13315
DIP-785N	P39958
DIP-383N	P35609
DIP-155N	P31314
DIP-908N	Q94818
DIP-1030N	P08571
DIP-58N	P10809
DIP-1043N	P10415
DIP-31N	P13501
DIP-285N	Q15628
DIP-468N	P39429
DIP-406N	P08138
DIP-346N	P20783
DIP-450N	P52583
DIP-175N	P29466
DIP-483N	P01579
DIP-950N	P70380
DIP-403N	P01350
DIP-295N	Q15349
DIP-1037N	P07996
DIP-235N	P38531
DIP-22N	P06730
DIP-263N	Q12772
DIP-268N	P42574
DIP-392N	Q00987
DIP-226N	P14859
DIP-51N	P09086
DIP-790N	P42345
DIP-114N	Q99075
DIP-496N	Q16514
DIP-435N	Q16594
DIP-421N	P06899
DIP-922N	Q16695
DIP-839N	P46677
DIP-1021N	P11277
DIP-773N	P49848
DIP-1077N	Q00403
DIP-36N	P08047
DIP-150N	P25490
DIP-239N	Q27272
DIP-368N	P04637
DIP-237N	P47825
DIP-652N	P18846
DIP-632N	P15336
DIP-344N	P18847
DIP-270N	P45984
DIP-570N	P03254
DIP-1090N	P03129
DIP-428N	Q13029
DIP-473N	Q63755
DIP-495N	Q15544
DIP-900N	Q15543
DIP-297N	Q12962
DIP-605N	P08752
DIP-21N	P06127
DIP-553N	P06239
DIP-1050N	P01112
DIP-117N	Q13671
DIP-91N	P42684
DIP-639N	P16333
DIP-447N	Q61036
DIP-138N	P09759
DIP-96N	P29317
DIP-286N	Q13158
DIP-78N	P20333
DIP-405N	P00533
DIP-433N	Q13546
DIP-924N	P25445
DIP-407N	P19438
DIP-397N	P51617
DIP-32N	P13747
DIP-380N	P20339
DIP-899N	P30681
DIP-277N	Q03052
DIP-882N	Q12874
DIP-625N	P09661
DIP-633N	P05783
DIP-884N	Q12965
DIP-348N	Q61598
DIP-316N	P61019
DIP-334N	Q62145
DIP-37N	P10085
DIP-167N	P41136
DIP-52N	P20428
DIP-602N	P04899
DIP-699N	P29353
DIP-664N	P35570
DIP-476N	P08069
DIP-1045N	P15056
DIP-299N	P68511
DIP-126N	P14598
DIP-166N	P30304
DIP-743N	P31946
DIP-600N	Q6FHM2
DIP-563N	P63104
DIP-369N	P02340
DIP-502N	Q14451
DIP-966N	Q13424
DIP-466N	Q13884
DIP-160N	Q91493
DIP-574N	P05067
DIP-24227N	Q01094
DIP-258N	Q14209
DIP-952N	Q92793
DIP-935N	Q16611
DIP-454N	Q63932
DIP-765N	P16220
DIP-953N	P17947
DIP-29229N	P62993
DIP-147N	P21675
DIP-677N	P35269
DIP-654N	P22415
DIP-322N	Q03519
DIP-1055N	P10721
DIP-49N	P11831
DIP-231N	Q07820
DIP-724N	Q08639
DIP-188N	P20152
DIP-39N	P13647
DIP-137N	Q03405
DIP-471N	P63211
DIP-158N	P34021
DIP-83N	P19447
DIP-312N	P05556
DIP-35N	P06493
DIP-320N	Q62120
DIP-386N	P04141
DIP-67N	P17301
DIP-238N	Q14186
DIP-294N	Q14188
DIP-103N	Q96Q89
DIP-1056N	P07948
DIP-109N	P15924
DIP-112N	Q64507
DIP-424N	P05787
DIP-159N	P15173
DIP-1059N	P12931
DIP-123N	P24385
DIP-161N	P24941
DIP-453N	Q96TE0
DIP-875N	P11802
DIP-178N	P30279
DIP-457N	P27824
DIP-104N	P27797
DIP-520N	P27037
DIP-212N	Q04771
DIP-252N	P36898
DIP-531N	P17252
DIP-555N	P12368
DIP-554N	P31323
DIP-172N	P24275
DIP-547N	P31322
DIP-66N	P20651
DIP-95N	P40189
DIP-133N	P23458
DIP-1052N	P17275
DIP-1062N	P29597
DIP-28N	P05113
DIP-6N	P08700
DIP-106N	P19838
DIP-57N	P17181
DIP-271N	P98083
DIP-440N	P47745
DIP-599N	P62873
DIP-586N	P63212
DIP-601N	P16520
DIP-324N	P63217
DIP-371N	P00813
DIP-351N	P27487
DIP-641N	P19793
DIP-644N	P18074
DIP-786N	Q13888
DIP-750N	P28715
DIP-708N	P32780
DIP-193N	Q03468
DIP-504N	Q16533
DIP-505N	Q13487
DIP-668N	P28827
DIP-131N	P67870
DIP-140N	P26006
DIP-679N	Q28685
DIP-162N	P08887
DIP-640N	P17480
DIP-101N	P22897
DIP-430N	Q16531
DIP-253N	P43405
DIP-100N	P19174
DIP-304N	P05106
DIP-692N	P15829
DIP-122N	P35222
DIP-477N	P12830
DIP-946N	P35869
DIP-27595N	P07900
DIP-412N	P04792
DIP-1080N	P01589
DIP-475N	P60568
DIP-413N	P08238
DIP-460N	P34932
DIP-139N	P25963
DIP-716N	P29084
DIP-911N	P07270
DIP-56N	P19388
DIP-522N	Q05499
DIP-529N	P03956
DIP-379N	P04492
DIP-569N	P03243
DIP-462N	Q06609
DIP-29078N	P63279
DIP-945N	P48551
DIP-296N	Q61730
DIP-333N	P43351
DIP-1049N	P09769
DIP-245N	Q16667
DIP-516N	Q06124
DIP-264N	P62881
DIP-613N	P25325
DIP-232N	Q07812
DIP-303N	Q9D646
DIP-318N	P19784
DIP-533N	P02538
DIP-1047N	P01100
DIP-442N	P42227
DIP-558N	P09619
DIP-494N	P50153
DIP-173N	P31785
DIP-149N	P24864
DIP-1165N	P05109
DIP-205N	P50539
DIP-443N	Q60641
DIP-649N	P23572
DIP-648N	P23573
DIP-686N	Q00526
DIP-1039N	P00546
DIP-246N	P38936
DIP-552N	P13861
DIP-577N	P11137
DIP-749N	P36873
DIP-1005N	Q15435
DIP-438N	Q28147
DIP-878N	P49841
DIP-5961N	P05412
DIP-323N	P30305
DIP-363N	P17707
DIP-30N	P07737
DIP-523N	P35568
DIP-1108N	Q01081
DIP-1120N	P02649
DIP-1122N	P21926
DIP-1125N	P07357
DIP-1133N	P27635
DIP-1136N	P21333
DIP-1134N	P49768
DIP-1160N	Q86504
DIP-1162N	P29323
DIP-28145N	P61244
DIP-180N	Q12802
DIP-354N	P18848
DIP-249N	P45983
DIP-638N	P20248
DIP-2155N	Q07955
DIP-2196N	P06396
DIP-951N	Q9Y618
DIP-2651N	P41182
DIP-2655N	P24768
DIP-2175N	P21605
DIP-2657N	P19525
DIP-2895N	P01375
DIP-2910N	P01374
DIP-2930N	P28908
DIP-2736N	P02786
DIP-2738N	P02787
DIP-3222N	P05112
DIP-2996N	Q06643
DIP-3023N	P23510
DIP-3014N	P25942
DIP-2997N	P48023
DIP-3016N	O43557
DIP-3044N	P13232
DIP-3046N	P40933
DIP-43N	P14784
DIP-3224N	P35225
DIP-3225N	P78552
DIP-3020N	P41273
DIP-3156N	Q01113
DIP-3511N	P22301
DIP-3340N	Q14627
DIP-3510N	Q01344
DIP-3293N	P26951
DIP-3782N	P25025
DIP-3783N	Q16570
DIP-3775N	P20809
DIP-482N	P05231
DIP-3778N	P10145
DIP-3785N	Q14116
DIP-3787N	P05230
DIP-3772N	P29459
DIP-4010N	P21781
DIP-4016N	P22607
DIP-4017N	P08620
DIP-4019N	P11362
DIP-3788N	P21802
DIP-4015N	Q8NI16
DIP-4012N	P09038
DIP-5149N	P22455
DIP-5712N	P01138
DIP-5719N	P23560
DIP-5730N	P40238
DIP-5732N	P19235
DIP-5736N	P16234
DIP-5737N	P01127
DIP-5739N	P35916
DIP-643N	P17948
DIP-5740N	P15692
DIP-5744N	Q14563
DIP-5752N	P49763
DIP-5776N	P26441
DIP-5769N	P15018
DIP-5785N	P13725
DIP-5834N	P32302
DIP-5848N	P51679
DIP-5824N	P08476
DIP-5788N	Q99062
DIP-5790N	Q03348
DIP-5793N	P36894
DIP-5794N	Q13873
DIP-5797N	P22004
DIP-5800N	P18075
DIP-5822N	Q05438
DIP-5823N	P43026
DIP-5825N	P27038
DIP-5832N	P32246
DIP-5831N	O15467
DIP-5835N	P22362
DIP-5855N	P32248
DIP-5874N	Q99616
DIP-5846N	P51677
DIP-5883N	O15444
DIP-5891N	P49682
DIP-5770N	P42702
DIP-5796N	P36895
DIP-5837N	P10147
DIP-5840N	P13236
DIP-5842N	Q92583
DIP-5854N	O00585
DIP-5865N	P51684
DIP-5833N	P41597
DIP-5866N	P51681
DIP-5871N	P80075
DIP-5838N	P13500
DIP-5872N	Q9Y4X3
DIP-5858N	P51671
DIP-5877N	Q9Y258
DIP-5879N	P49238
DIP-5884N	P51686
DIP-5893N	P02778
DIP-5931N	O43294
DIP-5940N	Q03167
DIP-5967N	P06401
DIP-576N	P04150
DIP-6021N	P05019
DIP-5937N	P10600
DIP-2737N	Q30201
DIP-5847N	P80098
DIP-5896N	P09341
DIP-5908N	P19875
DIP-5911N	P42830
DIP-3779N	P25024
DIP-5918N	Q9NPB9
DIP-5857N	Q99731
DIP-5920N	O70460
DIP-5921N	P51670
DIP-125N	P10275
DIP-5935N	P36897
DIP-5939N	P37173
DIP-5938N	P37023
DIP-5934N	P01137
DIP-5795N	P12644
DIP-5792N	P12643
DIP-5953N	P21246
DIP-5957N	Q13772
DIP-5960N	Q03135
DIP-5968N	Q13105
DIP-5969N	Q9Y6X2
DIP-5965N	P03372
DIP-5970N	O75925
DIP-5966N	Q92731
DIP-5972N	Q99728
DIP-5977N	P14416
DIP-5978N	Q12888
DIP-5980N	Q14192
DIP-5983N	P23497
DIP-5986N	P45973
DIP-5987N	Q14739
DIP-5991N	P10828
DIP-5997N	Q15596
DIP-34N	P10276
DIP-5998N	Q92993
DIP-5999N	P49116
DIP-2251N	P25491
DIP-5979N	Q61026
DIP-6011N	Q99665
DIP-3774N	P29460
DIP-6014N	Q16552
DIP-6018N	P01574
DIP-6022N	Q04756
DIP-6029N	Q04912
DIP-6037N	O15520
DIP-4018N	P12034
DIP-6039N	O95750
DIP-5716N	P35739
DIP-6055N	P61769
DIP-1022N	P01241
DIP-6072N	O19691
DIP-36441N	P21860
DIP-6095N	Q08209
DIP-6107N	P41778
DIP-687N	Q00534
DIP-6115N	P00734
DIP-6116N	P41159
DIP-6118N	P09920
DIP-6002N	Q05086
DIP-5996N	P51946
DIP-6067N	Q9TUF9
DIP-5913N	P02775
DIP-481N	P01563
DIP-6044N	P33681
DIP-6080N	P62937
DIP-3773N	P42701
DIP-6045N	P49765
DIP-6047N	Q02763
DIP-5905N	Q9Z1X0
DIP-6129N	P10599
DIP-6136N	P13726
DIP-6146N	P12694
DIP-6151N	P49458
DIP-6161N	P13804
DIP-6167N	P01854
DIP-6182N	P01215
DIP-6184N	P28067
DIP-6218N	Q16663
DIP-6220N	P49771
DIP-6225N	Q9Y275
DIP-6224N	O14836
DIP-6231N	Q9UBN6
DIP-6222N	Q13114
DIP-5890N	O14625
DIP-33566N	O14763
DIP-6246N	P17813
DIP-2928N	P36941
DIP-6250N	Q12931
DIP-6204N	Q14974
DIP-6242N	O14798
DIP-6223N	Q12933
DIP-5971N	P38398
DIP-1121N	P16070
DIP-17014N	P62877
DIP-17016N	O08816
DIP-17015N	O43516
DIP-17022N	O43312
DIP-2664N	P97369
DIP-17024N	P46061
DIP-17032N	P11171
DIP-17035N	Q9Y2J2
DIP-17041N	O00291
DIP-17042N	O75146
DIP-24184N	Q13547
DIP-24270N	O96017
DIP-24182N	O14757
DIP-24187N	P15927
DIP-24183N	P30307
DIP-148N	P28749
DIP-24185N	Q16254
DIP-24186N	P78527
DIP-24189N	P27694
DIP-24190N	P35244
DIP-24191N	P23025
DIP-24192N	Q14565
DIP-24194N	P13051
DIP-24195N	P09429
DIP-24199N	O15151
DIP-24202N	O15350
DIP-24203N	O60566
DIP-24207N	Q10567
DIP-24208N	O00203
DIP-24209N	Q9Y6B7
DIP-1098N	P12004
DIP-24215N	P18858
DIP-24267N	P35249
DIP-24255N	Q99638
DIP-24254N	O75943
DIP-24216N	P39748
DIP-24217N	P24522
DIP-24225N	Q8IWY9
DIP-24256N	Q9UK53
DIP-24257N	Q9UK53
DIP-24258N	Q9UK53
DIP-24218N	O95257
DIP-38N	P09874
DIP-24221N	Q00535
DIP-24229N	Q15329
DIP-24230N	O00716
DIP-24264N	Q7LG56
DIP-24234N	P22674
DIP-24236N	O00255
DIP-24241N	Q13156
DIP-24265N	O75771
DIP-24263N	Q92547
DIP-425N	Q08999
DIP-24245N	Q13363
DIP-24249N	P51532
DIP-24250N	Q9HCU9
DIP-24248N	P35232
DIP-24253N	O15379
DIP-24169N	Q64364
DIP-24188N	P12956
DIP-24196N	P23804
DIP-24244N	Q99708
DIP-24260N	P49459
DIP-24212N	Q15648
DIP-24232N	P31350
DIP-24201N	O35618
DIP-24170N	Q9NXV6
DIP-24171N	Q8N726
DIP-24239N	Q00653
DIP-24238N	Q04206
DIP-27532N	Q15653
DIP-27528N	Q9Y6K9
DIP-27526N	O15111
DIP-27527N	O14920
DIP-27625N	P55211
DIP-27626N	P98170
DIP-6057N	P61970
DIP-27524N	Q15750
DIP-27523N	O43318
DIP-27627N	Q9NR28
DIP-27629N	O15519
DIP-27618N	Q9ULZ3
DIP-27617N	Q8NFZ5
DIP-27642N	O09053
DIP-28131N	P35354
DIP-28133N	Q9NS87
DIP-28132N	P46013
DIP-28137N	Q61686
DIP-28135N	P83916
DIP-28142N	O75592
DIP-28143N	P01106
DIP-28147N	O75529
DIP-28148N	O75486
DIP-28146N	Q92830
DIP-28149N	Q9Y4A5
DIP-28151N	O75478
DIP-28152N	Q15393
DIP-28153N	Q9Y230
DIP-28155N	Q99471
DIP-29003N	Q96IZ0
DIP-29000N	Q9D5L7
DIP-29001N	O88838
DIP-29004N	O15409
DIP-29006N	O94906
DIP-29007N	Q07666
DIP-5995N	P50613
DIP-29014N	O00267
DIP-29016N	P50750
DIP-29017N	Q9UBU8
DIP-29018N	Q9NV56
DIP-29024N	O75695
DIP-29027N	P09622
DIP-29044N	P53999
DIP-29045N	Q8WTS6
DIP-29051N	P25686
DIP-29053N	Q93009
DIP-29061N	P60605
DIP-29062N	P61077
DIP-6051N	O08538
DIP-29076N	Q96QK1
DIP-29075N	O75436
DIP-29080N	P63165
DIP-29079N	P46060
DIP-29084N	Q9UFF9
DIP-29082N	Q14671
DIP-29085N	P03951
DIP-29092N	O14745
DIP-29091N	P26043
